,property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,shopping_center_id,distance_to_sc,train_station_id,distance_to_train_station,travel_min_to_CBD,transfer_flag,hospital_id,distance_to_hospital,supermarket_id,distance_to_supermaket
19,1290,-37.797482,144.882317,63 Liverpool Street,FOOTSCRAY,8025000,house,2014,3,1,0,SC_043,1879,20023,550,20,0,hospital_056,592,S_201,1427
20,1316,-37.7955372,144.8820787,66 Essex Street,FOOTSCRAY,6342000,house,2012,3,1,0,SC_043,1821,20023,754,20,0,hospital_056,450,S_201,1517
21,1468,-37.81000137,144.88960269999998,80 Gamon Street,SEDDON,3780000,house,2007,2,1,0,SC_043,3068,19997,545,15,0,hospital_056,1902,S_201,1268
22,1474,-37.805423,144.896854,82 Albert Street,SEDDON,11190000,house,2013,2,1,1,SC_011,3075,19997,412,15,0,hospital_003,1618,S_201,530
23,1535,-37.80374,144.894042,91 Buckley Street,SEDDON,5650000,house,2015,2,1,1,SC_011,3071,20024,265,18,0,hospital_003,1352,S_201,483
24,1566,-37.788486999999996,144.871207,1 Deakin st,MAIDSTONE,4400000,house,2014,3,1,1,SC_043,1029,20022,1401,22,0,hospital_056,1416,S_149,1029
25,1574,-37.78435,144.866456,1/12 Clarendon Street,MAIDSTONE,6953000,house,2013,3,1,2,SC_043,1124,20022,1687,22,0,hospital_056,1993,S_149,1124
26,1607,-37.81905,144.844843,1/50 Corrigan Avenue,BROOKLYN,3150000,house,2010,3,1,1,SC_033,865,20022,2719,22,0,hospital_056,4642,S_056,1824
27,1634,-37.804274,144.883993,10 Queensville Street,KINGSVILLE,3510000,house,2012,3,1,1,SC_043,2304,20023,298,20,0,hospital_056,1255,S_201,1294
28,1678,-37.780162,144.871529,11/42 Eucalyptus Drive,MAIDSTONE,4810000,house,2015,2,2,1,SC_052,1501,20022,2255,22,0,hospital_056,1936,S_131,1589
29,1682,-37.8116188,144.8792725,110 Wales Street,KINGSVILLE,4900000,house,2007,2,1,2,SC_043,2537,19996,1049,16,0,hospital_056,2146,S_201,2045
30,1744,-37.811105,144.880999,128 Empress Avenue,KINGSVILLE,13792000,house,2015,3,1,1,SC_043,2591,19996,947,16,0,hospital_056,2052,S_201,1889
31,1762,-37.809208,144.883735,130 Williamstown Road,KINGSVILLE,5238000,house,2012,3,1,2,SC_043,2611,20023,835,20,0,hospital_056,1803,S_201,1570
32,1777,-37.7850914,144.8739777,137 Ballarat Rd,MAIDSTONE,5440000,house,2008,2,1,0,SC_043,1453,20022,1851,22,0,hospital_056,1399,S_149,1454
33,1783,-37.811331,144.880606,137 Coronation Street,KINGSVILLE,7040000,house,2014,4,2,1,SC_043,2587,19996,962,16,0,hospital_056,2085,S_201,1932
34,1817,-37.81214142,144.8812256,149 Empress Avenue,KINGSVILLE,4264000,house,2007,3,1,0,SC_043,2691,19996,870,16,0,hospital_056,2161,S_201,1946
35,1897,-37.7876834,144.8771399,18 Wallace Street,MAIDSTONE,6860000,house,2012,2,1,2,SC_043,1527,20023,1729,20,0,hospital_056,1001,S_149,1527
36,1916,-37.78663254,144.8816223,19 Inkerman Street,MAIDSTONE,4428000,house,2009,3,2,1,SC_052,1585,20023,1720,20,0,hospital_056,828,S_049,1638
37,1926,-37.789152,144.869481,19 Yardley Street,MAIDSTONE,5877000,house,2012,3,1,1,SC_043,862,20022,1263,22,0,hospital_056,1536,S_149,862
38,1997,-37.786688,144.88146899999998,21 Inkerman Street,MAIDSTONE,9350000,house,2014,3,1,2,SC_052,1594,20023,1717,20,0,hospital_056,829,S_049,1650
39,2000,-37.78502274,144.8692017,21 Janson Street,MAIDSTONE,8840000,house,2009,4,1,3,SC_043,1175,20022,1677,22,0,hospital_056,1746,S_149,1176
40,2015,-37.78276443,144.87136840000002,22 Alma Street,MAIDSTONE,11479000,house,2008,3,2,3,SC_043,1491,20022,1979,22,0,hospital_056,1742,S_149,1491
41,2016,-37.78432465,144.8814545,22 Cathcart Street,MAIDSTONE,3800000,house,2009,2,1,3,SC_052,1341,20023,1976,20,0,hospital_056,1065,S_049,1415
42,2020,-37.7852,144.881636,22 Delacey Street,MAIDSTONE,8250000,house,2012,3,1,3,SC_052,1430,20023,1877,20,0,hospital_056,970,S_049,1494
43,2141,-37.809382,144.876678,30 Edgar Street,KINGSVILLE,8100000,house,2010,4,1,1,SC_043,2201,20023,1135,20,0,hospital_056,1993,S_201,2108
44,2188,-37.789884,144.875649,35 Albert Facey Street,MAIDSTONE,6600000,house,2014,3,2,1,SC_043,1313,20022,1528,22,0,hospital_056,996,S_149,1313
45,2267,-37.784018,144.88152,41 Ringtail Circuit,MAIDSTONE,8905000,house,2015,4,2,1,SC_052,1307,20023,2008,20,0,hospital_056,1095,S_049,1382
46,2276,-37.778708,144.871268,42 Omar Street,MAIDSTONE,4304000,house,2012,3,1,3,SC_052,1439,20022,2401,22,0,hospital_056,2074,S_131,1435
47,2420,-37.81903,144.842842,631 Geelong Road,BROOKLYN,7605000,house,2015,2,1,1,SC_033,918,20022,2824,22,0,hospital_174,4690,S_056,1848
48,2490,-37.789439,144.875795,75 Madden Street,MAIDSTONE,5100000,house,2009,3,2,2,SC_043,1341,20022,1572,22,0,hospital_056,1003,S_149,1342
49,2521,-37.7861,144.879904,8 Havelock Street,MAIDSTONE,8520000,house,2016,4,1,1,SC_052,1571,20023,1812,20,0,hospital_056,959,S_049,1654
50,2525,-37.810995,144.872959,8 Kerr Street,KINGSVILLE,13175000,house,2015,3,1,2,SC_043,2177,20023,1493,20,0,hospital_056,2304,S_149,2177
51,2579,-37.788231,144.874382,97 Norfolk Street,MAIDSTONE,8964000,house,2013,3,1,2,SC_043,1283,20022,1586,22,0,hospital_056,1174,S_149,1284
52,2581,-37.810990000000004,144.879294,98 Wales Street,KINGSVILLE,6820000,house,2014,3,1,1,SC_043,2484,19996,1081,16,0,hospital_056,2079,S_201,2002
53,2608,-37.814118,144.863996,1 Stanger Street,YARRAVILLE,9248000,house,2012,2,1,2,SC_033,2062,20022,1658,22,0,hospital_056,3045,S_149,2288
54,2687,-37.813293,144.869427,109 Roberts Street,YARRAVILLE,8720000,house,2010,2,1,2,SC_043,2294,20022,1664,22,0,hospital_056,2686,S_149,2294
55,2752,-37.810949,144.888458,12 Fielding Street,YARRAVILLE,6856000,house,2012,3,1,0,SC_043,3053,19996,561,16,0,hospital_056,1993,S_201,1413
56,2753,-37.813697999999995,144.884675,12 Forrest Street,YARRAVILLE,7470000,house,2016,2,1,0,SC_043,3021,19996,521,16,0,hospital_056,2293,S_201,1858
57,2967,-37.814706,144.871159,18 Gent Street,YARRAVILLE,8060000,house,2011,4,1,2,SC_043,2492,19996,1656,16,0,hospital_056,2742,S_149,2492
58,2979,-37.81530762,144.8654938,18 Urwin Street,YARRAVILLE,4950000,house,2009,3,1,3,SC_033,2077,20022,1801,22,0,hospital_056,3067,S_149,2435
59,3016,-37.811171,144.896079,1A Little Berry Street,YARRAVILLE,5265000,house,2013,1,1,0,SC_043,3612,19997,244,15,0,hospital_056,2188,S_201,1173
60,3032,-37.814485999999995,144.886199,2 George Street,YARRAVILLE,8450000,house,2015,2,1,1,SC_043,3177,19996,362,16,0,hospital_056,2377,S_201,1849
61,3033,-37.820276,144.88763500000002,2 Hance Street,YARRAVILLE,7579000,house,2010,3,1,2,SC_033,3664,19996,532,16,0,hospital_056,3024,S_201,2358
62,3049,-37.819655,144.881444,2/23 Bena Street,YARRAVILLE,11645000,house,2014,3,2,2,SC_033,3148,19996,858,16,0,hospital_056,2982,S_201,2560
63,3092,-37.813190000000006,144.86679099999998,21 Kidman Street,YARRAVILLE,7500000,house,2012,4,3,3,SC_043,2223,20022,1588,22,0,hospital_056,2810,S_149,2223
64,3115,-37.81461716,144.88166809999998,22 Kingston Street,YARRAVILLE,4383000,house,2008,2,1,0,SC_043,2930,19996,740,16,0,hospital_056,2425,S_201,2109
65,3137,-37.813681,144.876068,23 Adaleigh Street,YARRAVILLE,8712000,house,2014,3,1,3,SC_043,2571,19996,1243,16,0,hospital_056,2455,S_201,2408
66,3204,-37.816793,144.863613,25 Stanger Street,YARRAVILLE,8019000,house,2016,3,1,1,SC_033,1846,20022,1954,22,0,hospital_056,3299,S_056,2562
67,3381,-37.81840134,144.8720093,33 Bromyard Street,YARRAVILLE,4000000,house,2007,2,1,3,SC_033,2404,19996,1602,16,0,hospital_056,3077,S_149,2905
68,3495,-37.81246185,144.89729309999998,4/334 Nicholson Street,YARRAVILLE,3718000,house,2008,2,1,1,SC_011,3736,19997,410,15,0,hospital_056,2363,S_201,1306
69,3500,-37.82272339,144.8716583,40 Mill Avenue,YARRAVILLE,5500000,house,2009,3,2,2,SC_033,2233,19995,1534,19,0,hospital_056,3533,S_056,2627
70,3619,-37.81502151,144.88604740000002,5 Free Street,YARRAVILLE,12206000,house,2008,3,2,1,SC_043,3211,19996,354,16,0,hospital_056,2437,S_201,1906
71,3672,-37.818267,144.890754,53 Ballarat Street,YARRAVILLE,6996000,house,2016,3,2,1,SC_043,3758,19996,279,16,0,hospital_056,2827,S_201,2052
72,3695,-37.818185,144.889467,57 Ovens Street,YARRAVILLE,7155000,house,2016,3,1,0,SC_043,3674,19996,263,16,0,hospital_056,2804,S_201,2081
73,3940,-37.81031,144.892949,9 Mackay Street,YARRAVILLE,17510000,house,2012,4,2,1,SC_043,3329,19997,280,15,0,hospital_056,2002,S_201,1154
74,3951,-37.817257,144.895354,9 Schild Street,YARRAVILLE,11300000,house,2015,3,1,2,SC_043,3970,19996,502,16,0,hospital_056,2804,S_201,1853
75,4009,-37.847619,144.875847,1/1 Jack Street,NEWPORT,5840000,house,2015,3,2,2,SC_033,3461,19994,873,21,0,hospital_141,2148,S_056,2921
76,4040,-37.847097,144.867095,1/8 Rosshire Road,NEWPORT,9724000,house,2015,3,2,2,SC_033,2892,19994,1531,21,0,hospital_141,2743,S_056,2235
77,4379,-37.8391,144.87705,34 Oxford Street,NEWPORT,8646000,house,2013,3,1,2,SC_033,3001,19994,703,21,0,hospital_141,2890,S_056,2722
78,4424,-37.848507,144.866673,4 Port Street,NEWPORT,9605000,house,2013,4,2,2,SC_033,2995,19994,1622,21,0,hospital_141,2679,S_056,2301
79,4472,-37.846624,144.869323,43 Severn Street,NEWPORT,8364000,house,2015,3,2,2,SC_033,2978,19994,1328,21,0,hospital_141,2627,S_056,2368
80,4557,-37.847647,144.868261,57 Maddox Road,NEWPORT,8800000,house,2014,3,1,3,SC_033,3004,19994,1456,21,0,hospital_141,2625,S_056,2354
81,4574,-37.847819,144.875099,6 Melrose Street,NEWPORT,6860000,house,2006,3,1,0,SC_033,3428,19994,939,21,0,hospital_141,2174,S_056,2874
82,4585,-37.835575,144.867025,61 Gordon Street,NEWPORT,10640000,house,2015,5,1,2,SC_033,2039,19994,1660,21,0,hospital_141,3683,S_056,1809
83,4728,-37.84808731,144.869278,9 Revo Street,NEWPORT,10030000,house,2008,4,2,1,SC_033,3099,19994,1394,21,0,hospital_141,2524,S_056,2455
84,4783,-37.870592,144.81647,1/2 Bracken Grove,ALTONA,6000000,house,2015,2,1,1,SC_033,5567,19925,658,32,0,hospital_141,6662,S_128,1223
85,4843,-37.867065999999994,144.839666,11 Waratah Street,SEAHOLME,16800000,house,2016,5,3,2,SC_033,4539,19927,143,28,0,hospital_141,4590,S_128,856
86,4851,-37.868614,144.84143,11A Queen Street,SEAHOLME,11500000,house,2014,3,2,2,SC_033,4692,19927,95,28,0,hospital_141,4459,S_128,1007
87,4920,-37.861512,144.824154,15 McIntyre Drive,ALTONA,6700000,house,2014,4,3,2,SC_033,4358,19926,791,30,0,hospital_141,5925,S_128,886
88,5007,-37.863257,144.841018,2 Stirling Avenue,SEAHOLME,7680000,house,2013,3,1,2,SC_033,4104,19927,510,28,0,hospital_141,4443,S_128,1103
89,5013,-37.87127,144.822296,2/237 Esplanade,ALTONA,5830000,house,2014,2,1,2,SC_033,5410,19926,792,30,0,hospital_141,6166,S_128,769
90,5039,-37.87073,144.820784,205 Queen Street,ALTONA,9480000,house,2010,3,1,1,SC_033,5410,19926,875,30,0,hospital_141,6289,S_128,865
91,5075,-37.868073,144.834707,24 Mount Street,ALTONA,7319000,house,2012,2,1,2,SC_033,4729,19926,457,30,0,hospital_141,5036,S_128,414
92,5099,-37.872375,144.818925,269 Esplanade,ALTONA,19240000,house,2016,4,2,0,SC_033,5645,19925,934,32,0,hospital_141,6479,S_128,1088
93,5153,-37.857149,144.818879,34 Brook Drive,ALTONA,3630000,house,2009,2,1,2,SC_033,4185,19925,1010,32,0,hospital_141,6414,S_128,1554
94,5191,-37.865843,144.836605,40 Bayview Street,ALTONA,17850000,house,2016,3,1,1,SC_033,4451,19927,443,28,0,hospital_141,4845,S_128,628
95,5233,-37.857519,144.82018300000001,5 Greeney Street,ALTONA,8720000,house,2010,3,1,2,SC_033,4153,19925,1034,32,0,hospital_141,6297,S_128,1451
96,5290,-37.85485,144.821038,63 Hammond Street,ALTONA,7172000,house,2015,3,1,2,SC_033,3867,19925,1326,32,0,hospital_141,6255,S_128,1662
97,5354,-37.86446762,144.8447113,8 Sussex Street,SEAHOLME,9750000,house,2009,4,1,2,SC_033,4211,19927,500,28,0,hospital_141,4124,S_128,1351
98,5416,-37.788568,144.850619,1/24 Darnley Street,BRAYBROOK,6160000,house,2014,3,2,1,SC_043,1113,20021,1561,26,0,hospital_174,2000,S_149,1113
99,5427,-37.788148,144.858544,1/40 Melon Street,BRAYBROOK,3600000,house,2015,2,1,2,SC_043,666,20022,1295,22,0,hospital_056,2495,S_149,667
100,5499,-37.783028,144.860526,13 Lawn Crescent,BRAYBROOK,3216000,house,2009,3,1,1,SC_043,1186,20022,1818,22,0,hospital_056,2523,S_149,1187
101,5566,-37.792445,144.852279,19 Hughes Street,BRAYBROOK,3330000,house,2014,3,1,1,SC_043,823,20022,1206,22,0,hospital_174,2391,S_149,823
102,5573,-37.78419113,144.8625488,19 Middleton Street,BRAYBROOK,5550000,house,2009,2,1,3,SC_043,1058,20022,1677,22,0,hospital_056,2306,S_149,1058
103,5606,-37.78782,144.849519,2/37 Myalla Street,BRAYBROOK,6800000,house,2014,3,1,1,SC_043,1239,20021,1466,26,0,hospital_174,1873,S_149,1239
104,5622,-37.78424835,144.8627319,20 Middleton Street,BRAYBROOK,1850000,house,2009,3,1,0,SC_043,1053,20022,1670,22,0,hospital_056,2289,S_149,1053
105,5714,-37.793566,144.85809,31 Airforce Avenue,BRAYBROOK,11968000,house,2016,4,2,2,SC_043,301,20022,763,22,0,hospital_056,2473,S_149,301
106,5728,-37.779738,144.85108400000001,329 Ballarat Road,BRAYBROOK,5460000,house,2010,2,1,2,SC_102,1567,20021,1877,26,0,hospital_174,1649,S_080,1597
107,5777,-37.782018,144.857155,40 Vine Street,BRAYBROOK,6030000,house,2016,3,1,1,SC_043,1351,20022,1985,22,0,hospital_174,2220,S_149,1351
108,5825,-37.791609,144.848757,6 Kent Street,BRAYBROOK,3965000,house,2012,3,1,1,SC_043,1145,20021,1438,26,0,hospital_174,2107,S_149,1145
109,5847,-37.782907,144.846947,68 Lily Street,BRAYBROOK,4096000,house,2015,3,1,1,SC_102,1178,20021,1387,26,0,hospital_174,1396,S_080,1227
110,5854,-37.784943,144.862125,7 Middleton Street,BRAYBROOK,4840000,house,2012,3,1,1,SC_043,972,20022,1594,22,0,hospital_056,2305,S_149,972
111,5900,-37.785021,144.853678,87 Hargreaves Crescent,BRAYBROOK,4740000,house,2011,3,1,0,SC_043,1183,20022,1781,22,0,hospital_174,2032,S_149,1183
112,5904,-37.781433,144.85816,9 Cremorne  Street,BRAYBROOK,5782000,house,2012,2,1,0,SC_043,1392,20022,2028,22,0,hospital_174,2294,S_149,1393
113,5910,-37.789944,144.848504,9 Moama Street,BRAYBROOK,7500000,house,2016,2,1,2,SC_043,1216,20021,1384,26,0,hospital_174,1959,S_149,1217
114,5917,-37.79117584,144.8481293,93 South Road,BRAYBROOK,3120000,house,2009,3,1,2,SC_043,1209,20021,1373,26,0,hospital_174,2034,S_149,1209
115,5921,-37.78133774,144.8514404,"95 Darnley Street,",BRAYBROOK,6392000,house,2008,4,2,1,SC_102,1576,20021,1819,26,0,hospital_174,1713,S_080,1614
116,5942,-37.792925,144.837593,1 Drayton Street,SUNSHINE,9225000,house,2015,3,2,3,SC_102,1232,20021,641,26,0,hospital_174,1753,S_080,1318
117,6071,-37.793097,144.832624,111 Morris Street,SUNSHINE,9750000,house,2016,4,2,2,SC_102,1202,20021,508,26,0,hospital_174,1715,S_080,1277
118,6074,-37.782877,144.84483,112 Hertford Road,SUNSHINE,5335000,house,2012,3,1,2,SC_102,992,20021,1226,26,0,hospital_174,1227,S_080,1042
119,6095,-37.781234000000005,144.844649,12 Ernest Street,SUNSHINE,4617000,house,2013,3,1,1,SC_102,982,20021,1316,26,0,hospital_174,1137,S_080,1017
120,6107,-37.787863,144.843373,12 Nixon Street,SUNSHINE,5920000,house,2014,3,1,2,SC_102,1060,20021,926,26,0,hospital_174,1481,S_080,1139
121,6194,-37.79268646,144.82991030000002,141 Morris Street,SUNSHINE,4995000,house,2009,4,1,1,SC_102,1197,20021,531,26,0,hospital_174,1685,S_080,1262
122,6295,-37.780421,144.820304,18 Kamarooka st,ALBION,3267000,house,2013,2,1,1,SC_102,1186,20004,495,28,0,hospital_174,1117,S_080,1134
123,6302,-37.780909,144.84497199999998,18 Newman Street,SUNSHINE,8126000,house,2014,3,1,1,SC_102,1015,20021,1361,26,0,hospital_174,1152,S_080,1048
124,6314,-37.776458,144.816163,19 Brisbane Street,ALBION,4320000,house,2012,3,1,1,SC_102,1665,20004,763,28,0,hospital_174,1446,S_080,1597
125,6381,-37.795336999999996,144.822852,2/133 Wright Street,SUNSHINE,7150000,house,2010,2,1,1,SC_102,1728,20021,1162,26,0,hospital_174,2141,S_130,1498
126,6428,-37.78106689,144.815979,20 Selwyn Street,ALBION,3822000,house,2008,2,1,1,SC_102,1554,20004,857,28,0,hospital_174,1503,S_080,1507
127,6437,-37.799504999999996,144.823381,21 Boreham Street,SUNSHINE,4840000,house,2014,3,1,2,SC_102,2112,20021,1479,26,0,hospital_174,2558,S_130,1538
128,6495,-37.78883362,144.8423767,24 Union Street,SUNSHINE,5328000,house,2008,3,1,1,SC_102,1060,20021,836,26,0,hospital_174,1513,S_080,1144
129,6531,-37.783227000000004,144.81868899999998,28 Burnewang Street,ALBION,2840000,house,2012,2,1,1,SC_102,1313,20004,816,28,0,hospital_174,1364,S_080,1280
130,6542,-37.793932,144.83045900000002,29 Hampshire Road,SUNSHINE,3440000,house,2010,3,1,1,SC_102,1320,20021,637,26,0,hospital_174,1817,S_080,1389
131,6606,-37.777668,144.812474,30 Norwood Street,ALBION,4050000,house,2011,3,1,2,SC_102,1927,20004,1076,28,0,hospital_174,1764,S_080,1867
132,6745,-37.788294,144.834275,44 Station Place,SUNSHINE,1846000,house,2015,3,1,3,SC_102,667,20021,126,26,0,hospital_174,1190,S_080,749
133,6767,-37.791705,144.840164,49 Parsons Street,SUNSHINE,8755000,house,2011,2,1,1,SC_102,1194,20021,732,26,0,hospital_174,1699,S_080,1282
134,6834,-37.793884,144.829296,54 Chapman St,SUNSHINE,5026000,house,2012,3,1,3,SC_102,1340,20021,674,26,0,hospital_174,1825,S_080,1404
135,6959,-37.78359604,144.83596799999998,7 Service Street,SUNSHINE,4770000,house,2009,3,1,2,SC_102,254,20021,613,26,0,hospital_174,724,S_080,334
136,6962,-37.789341,144.843675,7 Union Street,SUNSHINE,5900000,house,2016,4,1,0,SC_102,1183,20021,954,26,0,hospital_174,1626,S_080,1266
137,6996,-37.775938,144.812365,75 Norwood Street,ALBION,6160000,house,2014,3,1,2,SC_102,1997,20004,1102,28,0,hospital_005,1729,S_080,1931
138,7044,-37.784707,144.824219,8/22 Forrest Street,ALBION,4080000,house,2015,2,1,0,SC_102,864,20004,786,28,0,hospital_174,1069,S_080,853
139,7236,-37.728086,144.822892,15 Rowan Drive,KEALBA,5025000,house,2015,4,2,2,SC_107,1367,20001,2570,36,0,hospital_005,3678,S_222,1672
140,7244,-37.72933,144.821718,16 Driscolls Road,KEALBA,4149000,house,2016,3,1,0,SC_107,1281,20001,2463,36,0,hospital_005,3525,S_222,1573
141,7302,-37.749686,144.76636100000002,2 Newark Court,ALBANVALE,4080000,house,2015,3,2,1,SC_048,2872,20002,3014,33,0,hospital_057,4404,S_070,647
142,7371,-37.747888,144.76803700000002,28 Wintersun Drive,ALBANVALE,5648000,house,2014,3,2,1,SC_048,2866,20002,2838,33,0,hospital_057,4323,S_070,582
143,7431,-37.732786,144.819465,33 Georgia Place,KEALBA,2970000,house,2011,2,2,1,SC_107,1225,20002,2174,33,0,hospital_057,3115,S_222,1458
144,7482,-37.737721,144.826434,4 Woolstone Close,KEALBA,6720000,house,2016,4,2,0,SC_107,2038,20002,2455,33,0,hospital_005,2721,S_222,2243
145,7556,-37.741281,144.76423799999998,55 Entally Drive,ALBANVALE,10855000,house,2010,4,2,2,SC_048,2205,20001,2921,36,0,hospital_057,4914,S_070,1336
146,7632,-37.74458313,144.772583,73 Diamond Ave,ALBANVALE,4455000,house,2008,3,2,2,SC_048,3026,20002,2418,33,0,hospital_057,4092,S_070,690
147,7685,-37.73512268,144.8261261,92 Driscolls Road,KEALBA,4070000,house,2009,3,2,2,SC_107,1865,20002,2539,33,0,hospital_005,2985,S_222,2098
148,7731,-37.781617,144.797032,135 Suspension Street,ARDEER,5726000,house,2015,3,1,1,SC_102,3216,20004,2474,28,0,hospital_057,2809,S_130,1948
149,7745,-37.780677,144.801815,17 Lawrence Street,ARDEER,5610000,house,2011,3,1,1,SC_102,2800,20004,2042,28,0,hospital_057,2509,S_130,1920
150,7839,-37.778385,144.799456,31 Rockbank Road,ARDEER,6018000,house,2016,3,1,2,SC_102,3033,20004,2223,28,0,hospital_057,2392,S_130,2216
151,7934,-37.779719,144.800142,72 Maxweld Street,ARDEER,3770000,house,2013,3,1,1,SC_102,2955,20004,2173,28,0,hospital_057,2485,S_130,2057
152,7952,-37.77905273,144.7983246,91 Blanche Street,ARDEER,4420000,house,2009,3,1,1,SC_102,3122,20004,2326,28,0,hospital_057,2509,S_130,2173
153,7964,-37.7676427,144.785821,1 Eaglehawk Circuit,CAIRNLEA,6000000,house,2012,4,2,2,SC_102,4508,20003,2375,31,0,hospital_057,2646,S_159,1079
154,8027,-37.744495,144.750691,11 Lexington Drive,BURNSIDE,10725000,house,2016,4,2,2,SC_048,1517,20001,4151,36,0,hospital_057,5892,S_156,991
155,8060,-37.760422999999996,144.788736,12 Westbury Street,CAIRNLEA,4565000,house,2012,3,2,1,SC_107,4036,20003,1862,31,0,hospital_057,2267,S_159,236
156,8122,-37.761686,144.78688400000001,15  Carmody Drive,CAIRNLEA,6885000,house,2012,3,2,2,SC_107,4232,20003,2050,31,0,hospital_057,2434,S_159,441
157,8235,-37.7549706,144.7888322,2 Pampas Lane,CAIRNLEA,6000000,house,2013,3,2,2,SC_107,3487,20002,1497,33,0,hospital_057,2341,S_159,401
158,8248,-37.749682,144.752913,2/5 Pilbara Avenue,BURNSIDE,8480000,house,2015,4,3,1,SC_048,2115,20002,4184,33,0,hospital_057,5552,S_156,382
159,8269,-37.755025,144.787374,21 Meadowview Way,CAIRNLEA,4920000,house,2011,4,2,2,SC_107,3554,20002,1589,33,0,hospital_057,2464,S_159,442
160,8293,-37.74888992,144.75492859999997,23 Corowa Crescent,BURNSIDE,4070000,house,2009,4,2,2,SC_048,2130,20002,3997,33,0,hospital_057,5400,S_156,465
161,8313,-37.753322,144.749404,24 Kellys Avenue,BURNSIDE,4895000,house,2016,3,2,2,SC_048,2370,20002,4556,33,0,hospital_057,5784,S_156,406
162,8344,-37.752292,144.755606,26 Paringa Way,BURNSIDE,6512000,house,2010,4,2,2,SC_048,2484,20002,3998,33,0,hospital_057,5263,S_156,162
163,8375,-37.751297,144.779243,29 Sullivan Road,CAIRNLEA,6660000,house,2016,4,2,2,SC_107,3644,20002,1967,33,0,hospital_057,3267,S_152,344
164,8425,-37.750018,144.783092,32 Homebush Road,CAIRNLEA,3750000,house,2012,3,2,2,SC_107,3312,20002,1599,33,0,hospital_057,3000,S_152,711
165,8450,-37.75030899,144.7830505,36 Homebush Road,CAIRNLEA,6240000,house,2008,3,2,2,SC_107,3339,20002,1615,33,0,hospital_057,2991,S_152,697
